
Molar Superior
36
337,520
334,529
332,537
330,545
327,555
325,564
320,577
316,590
311,599
306,608
301,616
297,625
300,634
307,637
315,640
320,642
326,642
336,644
345,650
353,652
359,648
361,632
362,617
367,592
371,571
373,558
376,551
378,537
376,525
370,534
361,546
353,552
348,540
347,518
344,511
339,515

Molar Inferior
42
468,605
469,596
470,589
473,580
476,573
481,561
482,551
485,539
487,528
489,517
492,510
496,503
502,498
510,498
514,504
521,510
534,506
544,509
549,512
553,519
553,531
546,546
538,560
534,572
532,585
528,597
523,612
515,621
505,629
503,623
507,615
510,601
512,590
511,577
512,572
506,569
498,575
489,587
484,596
477,605
474,611
469,608

Incisivo Inferior
21
759,590
752,597
741,612
727,618
717,633
711,647
705,661
700,673
698,679
698,687
700,691
708,685
715,676
721,667
730,657
736,650
743,640
752,631
760,613
763,603
760,591

Incisivo Superior
35
636,504
646,511
660,524
674,538
685,549
695,559
703,570
712,580
720,585
726,592
731,606
734,620
735,632
734,646
731,654
725,655
722,651
717,644
715,638
710,631
704,627
698,623
687,620
679,616
675,609
669,598
663,588
659,579
651,566
646,555
640,545
638,537
634,527
633,516
633,504
